Year,Age Group,Northeast Asia Monthly Mobile Data Usage per Smartphone (GB)
2000,10-19,1.5
2000,20-29,2.6
2000,30-39,3.7
2001,10-19,2
2001,20-29,3.2
2001,30-39,4.4
2002,10-19,2.5
2002,20-29,3.8
2002,30-39,5.1
2003,10-19,3
2003,20-29,4.4
2003,30-39,5.8
2004,10-19,3.5
2004,20-29,5
2004,30-39,6.5
2005,10-19,4
2005,20-29,5.6
2005,30-39,7.2
2006,10-19,4.5
2006,20-29,6.2
2006,30-39,7.9
2007,10-19,5
2007,20-29,6.8
2007,30-39,8.6
2008,10-19,5.5
2008,20-29,7.4
2008,30-39,9.3
2009,10-19,6
2009,20-29,8
2009,30-39,10
2010,10-19,6.5
2010,20-29,8.6
2010,30-39,10.7
2011,10-19,7
2011,20-29,9.2
2011,30-39,11.4
2012,10-19,7.5
2012,20-29,9.8
2012,30-39,12.1
2013,10-19,8
2013,20-29,10.4
2013,30-39,12.8
2014,10-19,8.5
2014,20-29,11
2014,30-39,13.5
2015,10-19,9
2015,20-29,11.6
2015,30-39,14.2
2016,10-19,9.5
2016,20-29,12.2
2016,30-39,14.9
2017,10-19,10
2017,20-29,12.8
2017,30-39,15.6
2018,10-19,10.5
2018,20-29,13.4
2018,30-39,16.3
2019,10-19,11
2019,20-29,14
2019,30-39,17
2020,10-19,11.5
2020,20-29,14.6
2020,30-39,17.7
2021,10-19,12
2021,20-29,15.2
2021,30-39,18.4
2022,10-19,12.5
2022,20-29,15.8
2022,30-39,19.1
2023,10-19,13
2023,20-29,16.4
2023,30-39,19.8
2024,10-19,13.5
2024,20-29,17
2024,30-39,20.5
